tweet_id,favorites,retweets,user_followers,user_favourites,date_time
892420643555336193,36323,7728,8769713,145944,2017-08-01 16:23:56
892177421306343426,31308,5721,8769713,145944,2017-08-01 00:17:27
891815181378084864,23583,3786,8769713,145944,2017-07-31 00:18:03
891689557279858688,39632,7892,8769713,145944,2017-07-30 15:58:51
891327558926688256,37832,8512,8769713,145944,2017-07-29 16:00:24
891087950875897856,19059,2850,8769713,145944,2017-07-29 00:08:17
890971913173991426,11099,1854,8769713,145944,2017-07-28 16:27:12
890729181411237888,61205,17250,8769713,145944,2017-07-28 00:22:40
890609185150312448,26216,3924,8769713,145944,2017-07-27 16:25:51
890240255349198849,29968,6719,8769713,145944,2017-07-26 15:59:51
890006608113172480,28856,6709,8769713,145944,2017-07-26 00:31:25
889880896479866881,26226,4563,8769713,145944,2017-07-25 16:11:53
889665388333682689,45185,9156,8769713,145944,2017-07-25 01:55:32
889638837579907072,25440,4108,8769713,145944,2017-07-25 00:10:02
889531135344209921,14221,2058,8769713,145944,2017-07-24 17:02:04
889278841981685760,23698,4876,8769713,145944,2017-07-24 00:19:32
888917238123831296,27384,4117,8769713,145944,2017-07-23 00:22:39
888804989199671297,24068,3882,8769713,145944,2017-07-22 16:56:37
888554962724278272,18583,3185,8769713,145944,2017-07-22 00:23:06
888078434458587136,20492,3168,8769713,145944,2017-07-20 16:49:33
887705289381826560,28444,4921,8769713,145944,2017-07-19 16:06:48
887517139158093824,43637,10776,8769713,145944,2017-07-19 03:39:09
887473957103951883,64683,16473,8769713,145944,2017-07-19 00:47:34
887343217045368832,31660,9575,8769713,145944,2017-07-18 16:08:03
887101392804085760,28798,5450,8769713,145944,2017-07-18 00:07:08
886983233522544640,32886,7018,8769713,145944,2017-07-17 16:17:36
886736880519319552,11279,2938,8769713,145944,2017-07-16 23:58:41
886680336477933568,21139,4086,8769713,145944,2017-07-16 20:14:00
886366144734445568,19897,2896,8769713,145944,2017-07-15 23:25:31
886267009285017600,112,4,8769713,145944,2017-07-15 16:51:35
886258384151887873,26344,5775,8769713,145944,2017-07-15 16:17:19
886054160059072513,0,100,8769713,145944,2017-07-15 02:45:48
885984800019947520,30631,6145,8769713,145944,2017-07-14 22:10:11
885528943205470208,33813,5850,8769713,145944,2017-07-13 15:58:47
885518971528720385,19265,3411,8769713,145944,2017-07-13 15:19:09
885311592912609280,0,16951,8769713,145944,2017-07-13 01:35:06
885167619883638784,20601,4002,8769713,145944,2017-07-12 16:03:00
884925521741709313,72608,16575,8769713,145944,2017-07-12 00:01:00
884876753390489601,26210,5112,8769713,145944,2017-07-11 20:47:12
884562892145688576,22849,4301,8769713,145944,2017-07-11 00:00:02
884441805382717440,25475,5211,8769713,145944,2017-07-10 15:58:53
884247878851493888,68331,18612,8769713,145944,2017-07-10 03:08:17
884162670584377345,19199,2739,8769713,145944,2017-07-09 21:29:42
883838122936631299,20570,3145,8769713,145944,2017-07-09 00:00:04
883482846933004288,43102,9035,8769713,145944,2017-07-08 00:28:19
883360690899218434,21335,3388,8769713,145944,2017-07-07 16:22:55
883117836046086144,34898,6073,8769713,145944,2017-07-07 00:17:54
882992080364220416,22480,3564,8769713,145944,2017-07-06 15:58:11
882762694511734784,26605,4477,8769713,145944,2017-07-06 00:46:41
882627270321602560,26332,5566,8769713,145944,2017-07-05 15:48:34
882268110199369728,42189,10599,8769713,145944,2017-07-04 16:01:23
882045870035918850,27588,4479,8769713,145944,2017-07-04 01:18:17
881906580714921986,22895,3113,8769713,145944,2017-07-03 16:04:48
881666595344535552,47655,9780,8769713,145944,2017-07-03 00:11:11
881633300179243008,119,7,8769713,145944,2017-07-02 21:58:53
881536004380872706,46541,14624,8769713,145944,2017-07-02 15:32:16
881268444196462592,21862,4825,8769713,145944,2017-07-01 21:49:04
880935762899988482,16069,2552,8769713,145944,2017-06-30 23:47:07
880872448815771648,20035,3508,8769714,145944,2017-06-30 19:35:32
880465832366813184,26822,5698,8769714,145944,2017-06-29 16:39:47
880221127280381952,25401,3814,8769714,145944,2017-06-29 00:27:25
880095782870896641,26005,3978,8769714,145944,2017-06-28 16:09:20
879862464715927552,21055,3204,8769714,145944,2017-06-28 00:42:13
879674319642796034,298,10,8769714,145944,2017-06-27 12:14:36
879492040517615616,22106,2919,8769714,145944,2017-06-27 00:10:17
879415818425184262,99580,40729,8769714,145944,2017-06-26 19:07:24
879376492567855104,15826,2863,8769714,145944,2017-06-26 16:31:08
879130579576475649,0,6237,8769714,145944,2017-06-26 00:13:58
879050749262655488,21244,4299,8769714,145944,2017-06-25 18:56:45
879008229531029506,17887,2462,8769714,145944,2017-06-25 16:07:47
878776093423087618,18238,3750,8769714,145944,2017-06-25 00:45:22
878604707211726852,28385,6526,8769714,145944,2017-06-24 13:24:20
878404777348136964,0,1182,8769714,145944,2017-06-24 00:09:53
878316110768087041,0,6117,8769714,145944,2017-06-23 18:17:33
878281511006478336,7290,1182,8769714,145944,2017-06-23 16:00:04
878057613040115712,39667,6237,8769714,145944,2017-06-23 01:10:23
877736472329191424,74783,17400,8769714,145944,2017-06-22 03:54:17
877611172832227328,0,73,8769714,145944,2017-06-21 19:36:23
877556246731214848,21404,3495,8769714,145944,2017-06-21 15:58:08
877316821321428993,25827,4776,8769714,145944,2017-06-21 00:06:44
877201837425926144,25552,5125,8769714,145944,2017-06-20 16:29:50
876838120628539392,19503,3062,8769714,145944,2017-06-19 16:24:33
876537666061221889,22290,4307,8769714,145944,2017-06-18 20:30:39
876484053909872640,17704,2181,8769714,145944,2017-06-18 16:57:37
